SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
GSM2808248,11.6020274710351,11.4272125740605,12.6827389092599,12.9424512672024,M,PASS
GSM2808249,11.6868554320701,11.4289870554373,13.5050157865583,8.93805052797368,F,PASS
GSM2808250,11.7721723438772,11.575535836786,12.8632864653178,13.0661026930574,M,PASS
GSM2808251,11.5564945143406,11.251588905091,12.5448749230511,12.7467335576736,M,PASS
GSM2808252,11.7195611546223,11.4161551207984,12.6609842753202,12.8674260088872,M,PASS
GSM2808253,11.8213102744634,11.5762564079189,12.7992030983451,13.0374738345101,M,PASS
GSM2808254,11.7924313756471,11.5582863225819,13.490497265041,8.99245567599266,F,PASS
GSM2808255,11.9112791100821,11.5985196937054,12.8511724485583,13.0957336963646,M,PASS
GSM2808256,11.7587402416911,11.4180489536006,12.8172879413852,13.0720121044865,M,PASS
GSM2808257,11.54883698751,11.2074672854432,12.490469815054,12.7565347042516,M,PASS
GSM2808239,11.5273917824025,11.1074689211924,12.4487217667349,12.6697855187124,M,PASS
GSM2808258,11.7329379949828,11.3743512366335,13.3485732748634,8.83084798278523,F,PASS
GSM2808259,11.7357648675775,11.4352094138168,12.7118476218888,12.9388947208487,M,PASS
GSM2808260,12.0272183121109,11.6829428874541,13.6247404124908,9.02924999472098,F,PASS
GSM2808261,11.9872687928881,11.5032807473152,12.8635427846278,13.0856177722574,M,PASS
GSM2808262,11.9673232779198,11.5560060851215,12.86372469499,13.0596623638742,M,PASS
GSM2808263,11.2688456145203,11.0395702817636,12.3162555066044,12.553214879817,M,PASS
GSM2808264,11.6700672999646,11.268343918326,13.2827504282046,8.61666900259871,F,PASS
GSM2808265,11.5134770000088,11.2967226722201,12.6001441188539,12.8516801493626,M,PASS
GSM2808266,11.8587219308681,11.4403639221224,13.4821596249684,8.80587063334616,F,PASS
GSM2808267,11.8064239004721,11.5162850091144,12.7701498070925,13.0441808885424,M,PASS
GSM2808240,11.522382495301,11.2195427823335,12.5551589221198,12.7672155225124,M,PASS
GSM2808268,11.6866294318417,11.4069901363089,13.4778761535657,8.82173388048522,F,PASS
GSM2808269,11.3592186787558,11.0248086687642,12.3491237356461,12.573021351826,M,PASS
GSM2808270,11.500013020098,11.2032078486406,13.1975712640308,8.5718257199383,F,PASS
GSM2808271,11.6689495797551,11.448977669192,12.6577522485974,12.8885819098136,M,PASS
GSM2808272,11.7818544042187,11.5318233922512,12.7849341694971,12.9805827497188,M,PASS
GSM2808273,12.0255054188152,11.5352757866451,13.569593564012,8.84178550182236,F,PASS
GSM2808274,11.9059198642986,11.6381660706874,12.8749495485819,13.1192534775718,M,PASS
GSM2808275,11.4988542114255,11.1412288494039,12.4288305480315,12.6742571633275,M,PASS
GSM2808276,11.6926474415218,11.3261169140914,12.6302299544289,12.8828754425461,M,PASS
GSM2808277,11.9067993161683,11.4097953170273,13.4216136341222,8.70682108022318,F,PASS
GSM2808241,11.6628332999435,11.3932046899612,13.3764743886287,8.77975202710468,F,PASS
GSM2808278,11.9354324537253,11.575409672389,12.8506610768884,13.0439481136813,M,PASS
GSM2808279,11.9494109491583,11.5895729671482,12.879796948624,13.119814909931,M,PASS
GSM2808280,11.994933609076,11.6916232772646,12.9167028128229,13.1651340356998,M,PASS
GSM2808281,11.4465673015831,11.0758700322719,12.3827896096073,12.6284180050607,M,PASS
GSM2808282,11.5751862561357,11.3204164632782,13.2063199990788,8.61184247639064,F,PASS
GSM2808283,11.5984169486034,11.2744340110873,13.3031951392254,8.69883002248996,F,PASS
GSM2808284,11.8205342628553,11.5228047929988,13.4850550596891,8.83600546349828,F,PASS
GSM2808285,11.8588627472344,11.559731587655,12.802927668822,13.0511718735839,M,PASS
GSM2808286,11.9050704150545,11.5008947074383,13.5101112766192,8.80059494137384,F,PASS
GSM2808242,11.6736106714207,11.4275547874002,12.737251285622,12.9893223577817,M,PASS
GSM2808243,11.8389982202957,11.4804107441352,13.508583719847,8.88417547558677,F,PASS
GSM2808244,11.8649351029375,11.5447211117394,13.6194027726854,8.96759754466905,F,PASS
GSM2808245,11.2115584896052,11.0227146681365,13.0148391198073,8.47803985221646,F,PASS
GSM2808246,11.6506838840381,11.2582770544044,13.3126722007165,8.73652148945038,F,PASS
GSM2808247,11.5208543770393,11.3668041148419,12.6154050380784,12.8566152392934,M,PASS
