SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
5903014001_R06C02,12.3649845579718,12.0793177445424,13.2693477721124,13.3471963180832,M,PASS
5903014002_R01C01,11.9241940081269,11.6695725199039,13.4329543398565,8.6214892508188,F,PASS
5903014002_R02C01,11.9353679063343,11.8302557280083,13.6040685461403,8.86594438178183,F,PASS
5903014002_R03C01,12.1335799917337,12.0163655800067,13.1208413604862,13.1587571049982,M,PASS
5903014002_R04C01,12.1570393119221,12.0461629878494,13.2092278130532,12.8764517617703,M,PASS
5903014002_R05C01,12.4508283121938,12.160002057253,13.945006005007,8.99803722442458,F,PASS
5903014002_R03C02,11.9375781620625,11.8644100017518,13.6144590251965,8.84062907681478,F,PASS
5903014002_R04C02,12.0338655279509,11.9856991004695,13.176143749036,13.2609111146933,M,PASS
5903014002_R05C02,12.241327263745,12.0693529156124,13.9017632552224,9.06867245005478,F,PASS
5903014002_R06C02,12.3339970429378,12.1889827250967,13.3773717916143,13.4865737170666,M,PASS
5903014003_R01C01,12.0671839371487,11.8592782004116,13.5408763302268,8.58821393854518,F,PASS
5903014003_R02C01,12.321175265899,12.0083061985088,13.7468500118696,8.74409174335924,F,PASS
5903014003_R03C01,12.2530143344582,12.0631731606978,13.8325754828605,8.99977480243383,F,PASS
5903014003_R04C01,12.4909009141735,12.2741028703846,13.9269974950047,8.90580249599936,F,PASS
5903014003_R01C02,12.0678654608227,11.8420309738588,13.5437913354211,8.71085737985165,F,PASS
5903014003_R02C02,12.1969157270526,12.035244446176,13.711693709815,8.86965180372543,F,PASS
5903014003_R03C02,12.300533136879,12.143258281335,13.8193057471509,8.89446214944686,F,PASS
5903014003_R04C02,12.5202340687365,12.2349160189219,13.9591571840542,8.95335037785034,F,PASS
5903014003_R05C02,12.5111459362303,12.2894326098308,14.0099025430129,9.01839837801755,F,PASS
5903014003_R06C02,12.3567553058942,12.1678744164402,13.3880719748833,13.4769118032487,M,PASS
5903014005_R01C01,11.8525002089997,11.7366348434841,12.9057086647497,12.987884843577,M,PASS
5903014005_R02C01,12.2213776036629,12.0885373686952,13.6325408608726,8.63201722094612,F,PASS
