SampleID,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,predictedGender,meanXchromosome
200123460016_R05C01,2.692999985,,0,0.274845037,0.009876225,0.982534121,Female,0.466008145
200123460016_R05C02,5.998190703,,0,0.270312695,0.009945708,0.982504726,Male,0.32098921
200123460016_R06C01,0.163704552,,0,0.275707125,0.008842728,0.984786494,Female,0.488876231
200123460016_R06C02,8.52569235,,0,0.26580627,0.00927618,0.984728506,Male,0.31499186
200123460046_R01C01,13.86805439,,0,0.261859949,0.008748922,0.982929577,Female,0.44386255
200123460046_R01C02,8.897337269,,0,0.256396131,0.008920582,0.980931079,Male,0.297753723
200123460046_R02C01,8.258013989,,0,0.263571956,0.008833703,0.983256992,Male,0.31469493
200123460046_R02C02,5.483025874,,0,0.268137978,0.009049511,0.982915818,Female,0.454574196
200123460046_R03C01,5.678485077,,0,0.267517446,0.008923802,0.983629496,Male,0.316610253
200123460046_R03C02,3.578141348,,0,0.265944158,0.008854961,0.985343976,Female,0.446819822
200123460046_R04C01,4.496451392,,0,0.265415803,0.008318442,0.984936442,Male,0.313383743
200123460046_R04C02,49.3660684,,0,0.267441776,0.00911518,0.985848106,Male,0.313084023
200123460046_R05C01,4.55694762,,0,0.268284407,0.007719445,0.986161057,Male,0.313364687
200123460046_R05C02,26.90696065,,0,0.270966821,0.008697668,0.985272498,Male,0.321294541
200123460046_R06C01,6.438583596,,0,0.270856497,0.007837117,0.98532556,Male,0.316688076
200123460046_R06C02,51.10358483,,0,0.265025025,0.008751393,0.984559612,Male,0.315224313
200123460072_R01C01,23.79881299,,0,0.261319016,0.009407781,0.979713878,Female,0.450073163
200123460072_R01C02,26.57434836,,0,0.261143825,0.010603557,0.977582887,Male,0.313147794
200123460072_R02C01,24.17175366,,0,0.256274614,0.010922066,0.979620798,Male,0.301431265
200123460072_R02C02,22.09440741,,0,0.263105517,0.009928416,0.981427975,Female,0.443489744
200123460072_R03C01,9.149948023,,0,0.256977731,0.009369193,0.982732043,Male,0.298534728
200123460072_R03C02,15.3499571,,0,0.262520483,0.009396667,0.983410726,Female,0.445607579
