SampleID,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,predictedGender,meanXchromosome
GSM1506336,58.762222748491,,0,0.263277774524853,0.00810468875447142,0.986897238858675,Male,0.311567674583536
GSM1506337,71.8690801108783,,0,0.271597245430063,0.00738851564960629,0.987843250870334,Male,0.325342205593781
GSM1506338,53.2752568417363,,0,0.266211765666461,0.00683186118417283,0.989148523705698,Male,0.319263251837219
GSM1506339,53.1395065279788,,0,0.26680813959218,0.00685292171241207,0.990259521022241,Male,0.322309218390538
GSM1506340,57.7949088951243,,0,0.278428640356843,0.00751031074718835,0.988763178672087,Female,0.488223943786577
GSM1506341,61.3199053323165,,0,0.262000238830267,0.00706349373451769,0.990048648644002,Female,0.481557754896698
GSM1506342,60.8565033290936,,0,0.266718815519487,0.00816170711139273,0.988094563744459,Male,0.318690387679506
GSM1506343,67.1359361191156,,0,0.271764817694491,0.00780777129254916,0.987941479322056,Male,0.326674406920843
GSM1506344,56.4039591964479,,0,0.26436043343089,0.00757786130124315,0.988255877988892,Male,0.318239173212588
GSM1506345,53.1132310440294,,0,0.268372733637913,0.00760467965147352,0.988253554269958,Male,0.323841515772714
GSM1506346,58.4507760593285,,0,0.270370260453511,0.00722908098520933,0.98961868369685,Female,0.473792075999143
GSM1506347,61.6315684909594,,0,0.261172055817936,0.00653225312100264,0.989181447942138,Female,0.483401808860838
GSM1506300,66.4224183705242,,0,0.27825315028335,0.0077501833283452,0.987609001025652,Female,0.497641153564629
GSM1506301,66.4049897124663,,0,0.265579619539247,0.00777323240393058,0.988276142095036,Female,0.476103991022186
GSM1506302,76.2509107492591,,0,0.272373911180712,0.00778786438416721,0.988187467491875,Female,0.476600002640734
GSM1506303,63.4627244189544,,0,0.270816567880026,0.0074989000341938,0.988280554386943,Female,0.483206691287519
GSM1506304,55.4729325562899,,0,0.270124506768131,0.00662947411978936,0.989067315463461,Female,0.499475924928631
GSM1506305,64.4552589899891,,0,0.271538182742567,0.00694579117406523,0.989551025639052,Male,0.326286102859419
GSM1506306,58.4222692867113,,0,0.268569395208008,0.00788217999411993,0.987457298073803,Female,0.475786787583474
GSM1506307,72.1715610516371,,0,0.273566544136369,0.00780378150009691,0.98816644104234,Female,0.486994603116318
GSM1506308,67.6161716166884,,0,0.269794125782401,0.00741075685142549,0.987972508754765,Female,0.489407931971928
GSM1506309,60.8383518498804,,0,0.272728520074609,0.00676172214789242,0.99014374565689,Female,0.489239789486618
GSM1506310,53.1048904252012,,0,0.275462617873306,0.00842582672455383,0.988723451638587,Female,0.524204654832335
GSM1506311,61.9282741674356,,0,0.268906281127832,0.0073306253456866,0.988499169354896,Male,0.323261698018416
GSM1506348,22.8038945823267,,0,0.270984971106613,0.0077784998860835,0.985125540865861,Female,0.483525434321299
GSM1506349,29.1461077394827,,0,0.271975318791786,0.00797005965566611,0.988318731464775,Male,0.324809201307833
GSM1506350,44.2130145915477,,0,0.268784509007362,0.00828265257285758,0.98740943216071,Male,0.320083007114458
GSM1506351,37.9022699709702,,0,0.273957350041781,0.00842070291310914,0.986783033083959,Female,0.476956972384573
GSM1506352,31.7983240650451,,0,0.272372408662869,0.0083809451269433,0.986676712071006,Female,0.488708054118486
GSM1506353,29.6097248278664,,0,0.267576940659785,0.0078221088167452,0.987283863576202,Female,0.470032251855161
GSM1506354,31.9354379586746,,0,0.270068769426714,0.0076506467048654,0.986759945131814,Female,0.4823559764072
GSM1506355,33.0095653020889,,0,0.268096612297599,0.00722083098232279,0.988619108149666,Male,0.319721318199478
GSM1506356,38.7193155166965,,0,0.272762888717078,0.00731626724492235,0.988157351637104,Male,0.350049877258807
GSM1506357,36.2308661988664,,0,0.265710986280356,0.00794375664248396,0.988956731518886,Female,0.477028505512217
GSM1506358,30.4308808706536,,0,0.272900764236919,0.00758359005495614,0.988622427803888,Female,0.48176760576462
GSM1506359,26.0509451726597,,0,0.270750929871706,0.00828839562407419,0.988315653414132,Female,0.479234925573906
GSM1506276,68.1754932459847,,0,0.270472394725531,0.00805314919352056,0.985878674917497,Female,0.486034746443206
GSM1506277,65.1506074633286,,0,0.268511708437206,0.00708839606646181,0.988234134042609,Male,0.323934541856588
GSM1506278,62.235567159957,,0,0.269371509440152,0.00802729665629619,0.988094559680712,Female,0.495045528910587
GSM1506279,63.1699264339459,,0,0.267493694985542,0.00674972745702689,0.990032003201425,Female,0.497893935308149
GSM1506280,67.9164520137863,,0,0.268096555462748,0.00700740626153488,0.98901053858762,Male,0.322315583574099
GSM1506281,64.9724321339349,,0,0.269431867473695,0.00761991950510114,0.98955125320238,Male,0.323958273040268
GSM1506282,67.5506587104993,,0,0.275276190516839,0.0077742803317427,0.987611255480556,Female,0.499055468006009
GSM1506283,66.6551134975583,,0,0.269682464231821,0.00741774274381658,0.988451276487603,Male,0.325753151227975
GSM1506284,71.3352351764271,,0,0.277070004664604,0.00783094099289662,0.989807085591663,Female,0.507821522377688
GSM1506285,71.6183510572393,,0,0.272681343873372,0.007009254478762,0.987290922352315,Female,0.502385159827096
GSM1506286,71.696621886618,,0,0.267090919939505,0.00669875236972081,0.989520886709316,Male,0.323881131158964
GSM1506287,63.7250787097122,,0,0.268963097350419,0.00716039244285906,0.990313972003496,Male,0.32344945341498
GSM1506324,57.5114825965703,,0,0.276215205960546,0.00817694790100166,0.987288268474926,Female,0.507898857187208
GSM1506325,52.5511463054549,,0,0.279455102481787,0.00861086361295582,0.987009363990287,Female,0.480250061718345
