SampleID,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,predictedGender,meanXchromosome
GSM1338100,37.087177538958,,0,0.31122866918915,0,0.986122062766125,Male,0.368702413155364
GSM1338101,13.8561182875642,,0,0.308326831443702,0,0.989896818572657,Female,0.522141291830751
GSM1338102,22.0655618857073,,0,0.324035751359362,0.000218994087159647,0.986730045553575,Male,0.379011058739909
GSM1338103,8.14921006366751,,0,0.312434258535782,0,0.98948064438567,Male,0.36976303637886
GSM1338104,32.6051373679483,,0,0.310410605318153,0.00087463556851312,0.986621466190447,Male,0.364369186298475
GSM1338105,31.9243580158466,,0,0.330753263671046,0,0.990748709122203,Unsure,0.386189871082597
GSM1338106,2.87644599842959,,0,0.327958620105562,0.000287191269385411,0.987171617972011,Unsure,0.383371201734701
GSM1338107,42.7963391588344,,0,0.343960864752942,0,0.993496601827982,Female,0.569913724347681
GSM1338108,3.17452136995067,,0,0.330353637588017,0.00130067201387383,0.991502440788284,Female,0.537117999053569
GSM1338109,4.13518953249498,,0,0.331502411789517,0,0.988468997326904,Female,0.553676350014037
GSM1338110,3.8011585781538,,0,0.332023324142601,0,0.989293016248789,Unsure,0.389396780590607
GSM1338111,7.39151857371015,,0,0.325634399459853,0.00149183417085427,0.989114270418179,Female,0.549430015748553
GSM1338112,6.31933330162146,,0,0.301939982124535,0,0.986271555332329,Male,0.357158748500812
GSM1338113,34.8445285134156,,0,0.307926026915681,0.000121684108055488,0.984464431725266,Male,0.367071921558746
GSM1338114,12.02958912823,,0,0.312856071071912,0.00127986348122867,0.984646435522237,Female,0.520845185772677
GSM1338115,3.01435684752927,,0,0.30116770871349,0,0.985416230549159,Female,0.513214115243991
GSM1338116,10.2998392894443,,0,0.323266657858073,0.00135562584726615,0.981089494163424,Male,0.377921198362481
GSM1338117,6.57422863881012,,0,0.320485734169498,0.00127186009538951,0.984150513112885,Female,0.54063256420951
GSM1338118,3.47518711594878,,0,0.327071561519692,0.000750117205813408,0.986090719418901,Unsure,0.380445199534965
GSM1338119,17.0276030362484,,0,0.329166964011449,0,0.985494048006245,Female,0.539212602610667
GSM1338120,5.31203695527965,,0,0.335995965546605,0,0.989172033977411,Female,0.557660955234873
GSM1338121,5.54351059669256,,0,0.330918492309605,0.00166442101925973,0.982464965864175,Unsure,0.39126208419705
GSM1338122,4.12389345506702,,0,0.33634514095326,0,0.980577998756992,Unsure,0.395316580702378
GSM1338123,4.39161133329533,,0,0.331325196314111,0.0028849073792894,0.986355774774198,Female,0.54865678458894
