SampleID,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,predictedGender,meanXchromosome
9829118135_R05C01,3.09438239,,0,0.275604976,0.002581262,0.989982701,Male,0.327858486
9829118135_R05C02,3.997656018,,0,0.2766787,0.004189213,0.988491134,Male,0.329261404
9829118140_R01C01,8.684715575,,0,0.265669962,0,0.991329959,Male,0.31986319
9829118140_R01C02,6.851618057,,0,0.26139593,0,0.992068869,Male,0.31429543
9829118140_R03C01,5.266781482,,0,0.274782531,0.000875146,0.988136467,Male,0.32737605
9829118140_R03C02,6.546313134,,0,0.270653659,0,0.992662556,Male,0.322238727
9829118140_R05C01,6.679992075,,0,0.276390221,0.002886936,0.986418316,Male,0.32856271
9829118140_R05C02,6.012104125,,0,0.276666438,0.00058362,0.987422796,Male,0.330146955
9829118142_R01C01,6.574069391,,0,0.282895774,0,0.98792155,Male,0.332021814
9829118142_R01C02,5.029266028,,0,0.282899133,0,0.987483908,Male,0.334816199
9829118142_R03C01,8.075664343,,0,0.282030346,0.000771737,0.987873083,Male,0.333107747
9829118142_R03C02,7.426671539,,0,0.277376064,0,0.986852619,Male,0.328868824
9829118142_R05C01,6.252161432,,0,0.285929163,0,0.990410903,Male,0.337386357
9829118142_R05C02,4.722896181,,0,0.284105477,0,0.991391743,Male,0.334561627
9829118143_R01C01,8.944396336,,0,0.286071192,0,0.989856002,Male,0.336474387
9829118143_R01C02,7.031167904,,0,0.289904179,0,0.987480223,Male,0.342716999
9829118143_R03C01,10.53691728,,0,0.277352655,0,0.992108928,Male,0.328917215
9829118143_R03C02,10.51523391,,0,0.28006107,0,0.99011315,Male,0.330205119
9829118143_R05C01,8.719278599,,0,0.282822988,0,0.990486849,Male,0.336144907
9829118143_R05C02,13.49693989,,0,0.28021474,0,0.990270873,Male,0.331823533
9878827069_R01C01,20.61697424,,0,0.254670511,0,0.986293176,Male,0.307659944
9878827069_R01C02,19.65027561,,0,0.251659509,0,0.988229783,Male,0.30210665
9878827069_R03C01,18.77696166,,0,0.265369076,0,0.991096127,Male,0.317929583
9878827069_R03C02,17.57689521,,0,0.264504321,0.001567398,0.991728732,Male,0.317054102
9878827069_R05C01,20.28292237,,0,0.273886568,0.003278951,0.987031273,Male,0.330922018
9878827069_R05C02,18.76404426,,0,0.269394892,0.001211387,0.988831465,Male,0.321705744
9878827091_R01C01,2.602801386,,0,0.265179854,0.002045157,0.991213567,Male,0.318073944
9878827091_R01C02,2.211551308,,0,0.269713502,0.00067185,0.990313236,Male,0.321473987
9878827091_R03C01,2.828187164,,0,0.277748059,0.001276292,0.992747392,Male,0.33121394
9878827091_R03C02,3.399216483,,0,0.274320896,7.87E-05,0.98945953,Male,0.326403891
9878827091_R05C01,2.54468692,,0,0.279721588,0.00018644,0.98924779,Male,0.330450462
9878827091_R05C02,3.305810311,,0,0.278797407,0,0.993631202,Male,0.331515455
9878827132_R01C01,7.38020258, WARNING: meanMethBySample is < 0.25,0,0.249724587,0,0.984084881,Male,0.296766339
9878827132_R01C02,39.35231974,,0,0.256991257,0,0.981488974,Male,0.304049139
9878827132_R03C01,35.86916176,,0,0.258456879,0,0.98363375,Male,0.303406957
