SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
GSM1013198,11.4699239150774,11.2625337355826,12.4229246404786,12.5564342250806,M,PASS
GSM1013208,11.8217651290883,11.6811774595055,12.8669904069506,12.9706737665378,M,PASS
GSM1013200,11.8442424510473,11.6557871245695,12.8756146888737,13.012045092277,M,PASS
GSM1013180,11.2817477004703,11.2577916794589,12.5080936696281,12.5825544473516,M,PASS
GSM1013175,9.76299025239886,10.35399128134,11.8757579637584,11.9220319927001,M,PASS
GSM1013229,11.6524157090045,11.3219161088851,12.5362900107204,12.6676063837476,M,PASS
GSM1013176,11.6986428110641,11.4808516692123,12.7068833032423,12.8091497735057,M,PASS
GSM1013181,11.1437534254033,11.3413415550949,12.6682270913371,12.7163756748483,M,PASS
GSM1013182,10.3353427971634,10.9180795646553,12.3709252699959,12.3173463431813,M,PASS
GSM1013177,11.8884539272027,11.6497399633449,12.8812830907579,13.0128732456114,M,PASS
GSM1013178,11.4295034143273,11.4554116658862,12.8144942716967,12.8286597812171,M,PASS
GSM1013183,11.4450378295534,11.5100164742606,12.8591253789986,12.9218582775112,M,PASS
GSM1013213,11.3889045374316,11.0438005870511,12.2482355676253,12.3945737722783,M,PASS
GSM1013221,11.504111638072,11.2849436412659,12.5000588956113,12.5900602434235,M,PASS
GSM1013214,11.602755614358,11.4037912976999,12.6497055423713,12.7414734572137,M,PASS
GSM1013222,11.6814115822018,11.4765743598413,12.6979532718817,12.7883725821082,M,PASS
GSM1013223,11.8996825008176,11.5854393878798,12.8004869453172,12.9149862800009,M,PASS
GSM1013215,11.7945942775618,11.5931109428719,12.8521532890101,12.9746205193726,M,PASS
GSM1013224,11.9508067794041,11.7355075472235,13.0054093795525,13.0803739796011,M,PASS
GSM1013187,11.1879991151429,11.2148646599822,12.4328357406583,12.4779034922011,M,PASS
GSM1013233,10.8859866020536,10.7321867695096,11.8356641108101,11.9340410280676,M,PASS
GSM1013205,11.6035595145355,11.3463271661574,12.5310875681976,12.6293999608541,M,PASS
GSM1013192,11.4465747071408,11.3036401671987,12.3980899873459,12.5150874749805,M,PASS
GSM1013188,11.3924260149957,11.1754745698869,12.3232323996959,12.4516472157295,M,PASS
GSM1013231,11.428708934892,11.0482565915075,12.2132237327022,12.3219103296182,M,PASS
GSM1013193,11.5071721579999,11.3113777499753,12.5099779997585,12.6116079187414,M,PASS
GSM1013194,10.6685894013018,10.6200235580868,11.8291695017296,11.9311469994245,M,PASS
GSM1013189,10.7991490524256,10.734589131049,12.1694112304198,12.3575755656218,M,PASS
GSM1013232,10.6357578626528,11.0998642297188,12.520866943683,12.5569888891029,M,PASS
GSM1013190,11.8904912299123,11.5462525949946,12.7741720713343,12.8977947927365,M,PASS
GSM1013195,11.6892463921985,11.5855279077042,12.7399269800196,12.8301391240456,M,PASS
GSM1013196,11.3366723664098,11.4075647206584,12.7746558888563,12.8115629010642,M,PASS
GSM1013197,11.6926781615079,11.7283584316492,12.89957747546,12.9941577879945,M,PASS
GSM1013191,11.7152888191351,11.7323992478131,12.8977859618193,12.9883645305142,M,PASS
GSM1013206,11.6979528866601,11.5340310910227,12.6646470580103,12.8298840064919,M,PASS
GSM1013201,11.3529237017886,11.1103973395471,12.3064031449012,12.4178602030124,M,PASS
GSM1013209,11.4680475473564,11.2448057976254,12.4369504674867,12.5430938480878,M,PASS
GSM1013234,11.6117502410249,11.4234676523796,12.5423868302933,12.6602947534033,M,PASS
GSM1013210,11.3574994801407,11.2054328977729,12.4821073740027,12.5818158066788,M,PASS
GSM1013211,11.6309354537059,11.4026067102342,12.6317387674142,12.7275093624441,M,PASS
GSM1013202,11.7862219690342,11.649922233546,12.8234330463186,12.9263151739887,M,PASS
GSM1013235,11.9720128766098,11.6225814212387,12.7867323892175,12.9001533881302,M,PASS
GSM1013203,11.8667730992316,11.6285643633149,12.8344992702369,12.9295022744501,M,PASS
GSM1013212,12.0114885900939,11.6749861955371,12.8548969514916,12.9950496261365,M,PASS
GSM1013204,11.8667798982722,11.6850772632702,12.8941630427317,12.9991644106626,M,PASS
GSM1013216,11.4590965900267,11.1235113926508,12.3390980488853,12.4472198284684,M,PASS
GSM1013217,11.3520034770314,11.1866737821725,12.4990588319553,12.5850048729217,M,PASS
GSM1013225,10.0363137770002,10.5655090114579,11.987076538221,11.9333536255818,M,PASS
GSM1013218,11.6177310130458,11.2752113485609,12.5858790028558,12.6876495457473,M,PASS
GSM1013226,11.8051858894953,11.476528606583,12.6375139846048,12.7677026480998,M,PASS
GSM1013219,11.7897944627483,11.4184806033373,12.5939368233836,12.719329984339,M,PASS
GSM1013207,11.7502304841762,11.6101577764804,12.7969052395567,12.9080528778016,M,PASS
GSM1013236,11.8315522369072,11.5370754679348,12.7060870287421,12.8094034004046,M,PASS
GSM1013220,11.7954940932896,11.4604213133062,12.7183208698999,12.8344872545428,M,PASS
GSM1013227,11.7195978961635,11.5246263269761,12.7222516299909,12.8152773658009,M,PASS
GSM1013184,11.2858669731789,11.0693183136033,12.2872196938225,12.3844929143949,M,PASS
GSM1013228,10.3644898759183,10.7225157326362,12.2941808578863,12.2961446699768,M,PASS
GSM1013199,11.3074819626146,11.5238682926129,12.7706779508141,12.8406408159322,M,PASS
GSM1013185,11.6879045382421,11.4181921703853,12.6700105946083,12.7424776207115,M,PASS
GSM1013186,11.5350312950758,11.4541749983129,12.7226121817276,12.7712619387482,M,PASS
GSM1013179,11.195380614443,11.390625620428,12.7495354795062,12.7386733992256,M,PASS
