SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
200049730032_R06C01,10.97670836,11.20268941,13.2488314,8.800348982,F,PASS
200049730032_R06C02,11.48507653,11.40771231,12.750915,12.73474805,M,PASS
200049730035_R01C01,11.41902082,11.52465184,12.62212544,12.64711117,M,PASS
200049730035_R01C02,11.4311332,11.44463438,12.54159417,12.61593778,M,PASS
200049730035_R02C01,11.46754146,11.8556477,12.82826655,12.83055147,M,PASS
200049730035_R02C02,11.68430172,11.66754642,13.30100031,9.216182989,F,PASS
200049730035_R03C01,7.854586076,8.158237475,9.669965969,8.646403999,M,PASS
200049730035_R03C02,11.004845,11.1978576,12.87472843,8.886204224,F,PASS
200049730035_R04C01,9.946420482,10.69716963,12.58235204,9.609238387,F,PASS
200049730035_R04C02,11.63725326,11.66891973,13.3512635,9.168178692,F,PASS
200049730035_R05C01,9.545655104,10.15262005,12.15862966,10.67906392,M,PASS
200049730035_R05C02,11.78805015,11.59682418,13.35948567,9.145211503,F,PASS
200049730035_R06C01,9.926190313,10.47172862,12.53596025,9.481537456,F,PASS
200049730035_R06C02,11.79978252,11.68115079,13.43763035,9.141104747,F,PASS
200049730044_R01C01,11.10113123,11.06964704,12.90004676,8.537650779,F,PASS
200049730044_R01C02,11.04470857,10.90632197,12.38437961,12.48028539,M,PASS
200049730044_R02C01,11.33053604,11.10402763,13.0489008,8.485638638,F,PASS
200049730044_R02C02,10.58988336,11.0492908,12.49013109,12.43765017,M,PASS
200049730044_R03C01,11.55648406,11.25493313,13.12829529,8.502212156,F,PASS
200049730044_R03C02,11.45613633,11.17707257,12.55652567,12.61552182,M,PASS
200049730044_R04C01,11.62183429,11.16697046,12.66083318,12.78042703,M,PASS
200049730044_R04C02,11.29340866,11.2752986,12.56004484,12.50025761,M,PASS
200049730044_R05C01,10.75363802,11.16172051,12.64359059,12.53863994,M,PASS
200049730044_R05C02,11.13050238,11.20029041,13.02309341,8.704213045,F,PASS
200049730044_R06C01,11.00267506,11.14027376,13.14776545,8.773690872,F,PASS
200049730044_R06C02,11.45449454,11.32386161,12.61697438,12.70103601,M,PASS
200049730045_R01C01,10.67300438,10.91887465,12.21037682,12.17205479,M,PASS
200049730045_R01C02,8.377797374,8.951788393,11.3895627,10.51725292,M,PASS
200049730045_R02C01,10.90020266,11.15909612,12.4514325,12.48395789,M,PASS
200049730045_R02C02,11.3722891,11.30322301,12.5637657,12.6526204,M,PASS
200049730045_R03C01,10.11197602,11.92793461,12.92505211,8.824730446,F,PASS
200049730045_R03C02,11.33046531,11.37331174,12.72268918,12.71470586,M,PASS
200049730045_R04C01,11.20876372,11.30024101,13.16341916,8.668110815,F,PASS
200049730045_R04C02,11.30187396,11.21251033,13.15032893,8.700290189,F,PASS
200049730045_R05C01,11.34062405,11.17104246,13.10838783,8.575084554,F,PASS
200049730045_R05C02,11.07234954,11.17146474,12.64807785,12.73447759,M,PASS
200049730045_R06C01,11.38407455,11.00625894,12.53385937,12.71720832,M,PASS
200049730045_R06C02,11.48504686,11.25784622,12.74525591,12.79843154,M,PASS
200049730055_R01C01,11.03720672,11.02955444,12.42269143,12.51792922,M,PASS
200049730055_R01C02,11.29058693,11.02415883,12.40697105,12.47491557,M,PASS
200049730055_R02C01,10.89298747,11.16893305,12.46632439,12.46814682,M,PASS
200049730055_R02C02,11.27367073,11.22244067,12.48611126,12.57293012,M,PASS
200049730055_R03C01,11.02108885,11.15067828,12.46650125,12.4043188,M,PASS
200049730055_R03C02,11.1110084,11.38800152,12.58408352,12.43103023,M,PASS
200049730055_R04C01,11.00306381,11.28521871,12.58874442,12.61567316,M,PASS
200049730055_R04C02,11.1778366,11.27496112,12.6939346,12.73233082,M,PASS
200049730055_R05C01,11.73163579,11.29689396,12.70170255,12.8251387,M,PASS
200049730055_R05C02,11.41146326,11.51107327,12.71258787,12.77033034,M,PASS
200049730055_R06C01,10.25313897,10.87795938,12.28509836,12.15814321,M,PASS
200049730055_R06C02,11.2567337,11.36196499,12.70239593,12.72244364,M,PASS
200069280135_R01C01,10.39923228,10.6341793,11.9782139,11.99632043,M,PASS
200069280135_R01C02,11.23906413,10.81175788,12.70902435,8.155958002,F,PASS
200069280135_R02C01,11.02045887,11.0781766,12.4135777,12.45068708,M,PASS
200069280135_R02C02,10.95527576,10.82286963,12.66554908,8.322318528,F,PASS
200069280135_R03C01,11.02673435,10.87010868,12.29600567,12.39592162,M,PASS
200069280135_R03C02,11.47023507,11.27963762,13.07481386,8.532950824,F,PASS
200069280135_R04C01,11.13498373,11.09203121,12.54218268,12.57256009,M,PASS
200069280135_R04C02,10.91478205,11.17053315,12.51032712,12.53986746,M,PASS
200069280135_R05C01,11.03649322,11.06529472,12.40168481,12.45975907,M,PASS
200069280135_R05C02,11.11457163,11.12970842,13.1665235,8.772934526,F,PASS
200069280135_R06C01,10.72769753,10.87754631,12.78233401,8.476367097,F,PASS
200069280135_R06C02,10.7995041,11.0565231,13.0405905,8.63393229,F,PASS
200071610002_R01C01,11.51612333,10.95725819,12.87801853,8.19700449,F,PASS
200071610002_R01C02,11.40607638,11.03257331,12.80843842,8.176577115,F,PASS
200071610002_R02C01,11.67642346,11.24879754,13.04418028,8.281413771,F,PASS
200071610002_R02C02,11.48344843,11.16276083,12.9659451,8.312734247,F,PASS
200071610002_R03C01,11.71101143,11.18415491,13.2044873,8.52286021,F,PASS
200071610002_R03C02,11.56770151,11.28536303,13.06508848,8.408845732,F,PASS
200071610002_R04C01,4.569466761,5.327898131,5.997556294,5.988063447,M,PASS
200071610002_R04C02,11.66243135,11.35229816,13.16515,8.474093341,F,PASS
200071610002_R05C01,11.62543727,11.36192861,13.24150431,8.628906455,F,PASS
200071610002_R05C02,11.64629915,11.43743263,13.19725876,8.533841283,F,PASS
200071610002_R06C01,11.97358966,11.5240089,13.358148,8.451450899,F,PASS
200071610002_R06C02,11.696809,11.34127172,13.24356861,8.505800357,F,PASS
200071610033_R01C01,11.18131804,11.1589459,12.93346586,8.674998801,F,PASS
200071610033_R01C02,10.46164103,10.84011537,12.64264449,8.712571778,F,PASS
200071610033_R02C01,11.28270948,11.18470419,12.97088209,8.541804553,F,PASS
200071610033_R02C02,10.35552822,11.13681541,12.35187801,12.22954669,M,PASS
200071610033_R03C01,11.57929739,11.23062742,13.070275,8.677963255,F,PASS
200071610033_R03C02,11.1104104,11.32195251,13.07619644,8.922407337,F,PASS
200071610033_R04C01,11.56538984,11.24553747,13.22564161,8.929106641,F,PASS
200071610033_R04C02,11.16367459,11.35092407,12.64388684,12.71310256,M,PASS
200071610033_R05C01,11.1625875,11.26026895,12.64744077,12.65836653,M,PASS
200071610033_R05C02,11.57423384,11.47899877,12.85332683,12.9267749,M,PASS
200071610033_R06C01,11.34975,11.40903656,13.24298928,9.003809531,F,PASS
200071610033_R06C02,11.83270853,11.55427304,13.4803766,9.013425993,F,PASS
200071610038_R01C01,11.17542771,11.15498638,12.53542898,12.53259895,M,PASS
200071610038_R01C02,10.76015272,11.14277459,12.94272363,8.687928401,F,PASS
200071610038_R02C01,10.8753942,11.12567785,12.55699289,12.31656448,M,PASS
200071610038_R02C02,11.71841349,11.26955668,12.58540141,12.72400891,M,PASS
200071610038_R03C01,11.44511102,11.48944465,12.82919175,12.866446,M,PASS
200071610038_R03C02,10.83410239,11.23821864,13.06065791,9.022677072,F,PASS
200071610038_R04C01,11.7135057,11.66777009,12.97976174,13.01112768,M,PASS
200071610038_R04C02,11.33908911,11.54472964,13.40508468,9.166995991,F,PASS
200071610038_R05C01,11.42452448,11.50658751,13.40577096,9.007500986,F,PASS
200071610038_R05C02,11.7254097,11.67348812,13.4980857,9.028217825,F,PASS
200071610038_R06C01,11.58666382,11.34255977,12.89868861,13.1878397,M,PASS
200071610038_R06C02,11.57223321,11.57074226,13.49114254,8.835540478,F,PASS
200090280076_R01C01,10.86855612,11.87075276,12.59225379,12.50252309,M,PASS
200090280076_R01C02,10.8955272,11.0563043,13.11176622,8.913649825,F,PASS
200090280076_R02C01,11.56740394,11.51887012,13.34095987,8.845032595,F,PASS
200090280076_R02C02,11.00672073,11.24839312,12.5443185,12.46057709,M,PASS
200090280076_R03C01,11.75450734,11.5648316,13.40742733,8.836103454,F,PASS
200090280076_R03C02,11.23221094,11.39799338,12.67184646,12.65211544,M,PASS
200090280076_R04C01,11.79553028,11.56098931,13.47613935,8.992710058,F,PASS
200090280076_R04C02,11.34903924,11.46904085,13.40082224,9.035509613,F,PASS
200090280076_R05C01,10.97450339,11.37726087,13.20732735,9.161404372,F,PASS
200090280076_R05C02,11.7242995,11.63997889,13.47508069,8.954499775,F,PASS
200090280076_R06C01,10.30682355,10.67109383,12.7082438,10.8806433,M,PASS
200090280076_R06C02,11.71407353,11.58366043,12.87555305,12.66796337,M,PASS
200121140066_R01C01,10.6576125,10.7880453,12.16877541,12.24779787,M,PASS
200121140066_R01C02,10.74684894,10.6978122,12.61140243,8.227959301,F,PASS
200121140066_R02C01,10.24562736,11.39358325,12.22258961,12.18939422,M,PASS
200121140066_R02C02,10.81453419,10.78112382,12.19313182,12.22304409,M,PASS
200121140066_R03C01,10.72670455,10.81520961,12.29988085,12.24225641,M,PASS
200121140066_R03C02,10.83737278,10.9013144,12.89383638,8.580724638,F,PASS
200121140066_R04C01,10.64318347,11.23817485,12.88861842,8.66201474,F,PASS
200121140066_R04C02,11.20304365,11.13881802,12.54800642,12.64478121,M,PASS
200121140066_R05C01,11.09620546,11.1431121,13.05961766,8.689115474,F,PASS
200121140066_R05C02,11.00494908,10.95878685,12.47650079,12.46640271,M,PASS
200121140066_R06C01,11.54582497,11.07501056,13.25523055,8.676212833,F,PASS
200121140066_R06C02,11.04814529,11.03767747,13.04333569,8.607791066,F,PASS
200121140142_R05C02,11.13095561,11.20021424,13.40723711,8.987350209,F,PASS
200121140142_R06C02,10.42483185,12.1859042,13.36006539,8.967758288,F,PASS
200123460016_R01C01,10.72677058,10.9053795,12.73924623,8.404618841,F,PASS
200123460016_R01C02,10.40822751,10.71915151,12.11406318,12.12364099,M,PASS
200123460016_R02C01,11.08630342,11.14322512,12.5259453,12.51945301,M,PASS
