SampleID,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,predictedGender,meanXchromosome
GSM1506336,53.928033284106,,0,0.343955295924298,0.00197540304594405,0.984744160928851,Unsure,0.387882522642763
GSM1506337,68.6919720581144, WARNING: meanMethBySample is > 0.35,0,0.350701644666259,0.00294843664289632,0.986223096946226,Unsure,0.399320997564241
GSM1506338,49.1763938538338,,0,0.341150929307751,0.00122090805036246,0.984386691275503,Unsure,0.389367539646313
GSM1506339,50.3021755750223,,0,0.326806577032756,0.00170502983802217,0.987322444824874,Male,0.377634624875596
GSM1506340,53.4770645573612,,0,0.341558129117417,0.000524555766834962,0.988760470787827,Female,0.578799534911813
GSM1506341,61.0298839340379,,0,0.322741699164623,0.00571661902817477,0.987731455185732,Female,0.573373795364635
GSM1506342,57.7704072644641,,0,0.346706848199632,0.00109305545434672,0.9873384331311,Unsure,0.393558838535791
GSM1506343,64.3959428959721,,0,0.348768438774623,0.00140515222482436,0.988142867534735,Unsure,0.398109247235152
GSM1506344,52.0854541006832,,0,0.335871985754714,0.00246638555175432,0.9854375,Unsure,0.385467342146449
GSM1506345,48.7906460925445,,0,0.332793110026248,0.00244798041615667,0.988813349814586,Unsure,0.383133234569986
GSM1506346,54.2531553891674,,0,0.332214040146476,0.00122421219678078,0.990959763923369,Female,0.565931175734035
GSM1506347,60.448151183319,,0,0.314384102726379,0.00182436354589933,0.990034979256487,Female,0.563573840709962
GSM1506300,62.7492720305959,,0,0.33108809027694,0.000644560624507627,0.987436514300989,Female,0.576124218365868
GSM1506301,65.2871911588167,,0,0.317534128594228,0,0.990016436354782,Female,0.554835926151391
GSM1506302,73.3275942794602,,0,0.32124692204154,0,0.989189189189189,Female,0.546043737503789
GSM1506303,60.5698941650591,,0,0.315544229830013,0.00136814502337248,0.989573229873909,Female,0.546447274205641
GSM1506304,52.7747371832648,,0,0.320494851343831,0.00487491294798307,0.985239648405108,Female,0.570539257022998
GSM1506305,62.8583659425458,,0,0.324534990139737,0.00185092902399089,0.987888198757764,Male,0.376162142883824
GSM1506306,56.2824458093829,,0,0.327755914382385,0.00214297488873015,0.985246311577894,Female,0.561611072179151
GSM1506307,71.9509971999847,,0,0.333808561975017,0,0.992677229972855,Female,0.572520244595978
GSM1506308,64.0957831616061,,0,0.322487305320808,0.000417536534446764,0.991524903273353,Female,0.567994885743963
GSM1506309,60.2795947977483,,0,0.31675537449348,0,0.991305685927522,Female,0.551686088459083
GSM1506310,49.3843360499208,,0,0.320082296955836,0,0.991565754134665,Female,0.584475970618296
GSM1506311,60.1492593779752,,0,0.317904122526243,0.00706380974805745,0.986147026228297,Male,0.367645999759224
GSM1506348,16.396736202758, WARNING: meanMethBySample is > 0.35,0,0.351481818492498,0.00264200792602378,0.981292378073687,Female,0.609634992647659
GSM1506349,23.2586494305772,,0,0.340293934356088,0.00145944428852091,0.987879595098561,Unsure,0.386824133151287
GSM1506350,39.1386291723316,,0,0.340899176707513,0,0.985347373112708,Unsure,0.386870408513266
GSM1506351,33.2182106812593,,0,0.331573043895543,0.00551177515601512,0.979161072023202,Female,0.555887241214175
GSM1506352,26.1317023373751,,0,0.328507134892947,0,0.976576908889709,Female,0.562385370793282
GSM1506353,23.2531100330797,,0,0.329027806379607,0,0.97795696109744,Female,0.55546975772649
GSM1506354,24.5975543876235,,0,0.332771949834378,0.00173611111111111,0.992399640710288,Female,0.580577151457752
GSM1506355,25.4681111615236,,0,0.341763496360383,0,0.98240990438833,Unsure,0.386949478571306
GSM1506356,32.5229374547691,,0,0.346173115062447,0.00292889636692217,0.986127422196124,Female,0.43640053483552
GSM1506357,31.9041260343612,,0,0.329356984684639,0,0.987520871781352,Female,0.573836019569127
GSM1506358,23.8498192123959,,0,0.338951851690081,0.00689655172413793,0.985416666666667,Female,0.570892005598359
GSM1506359,19.491606007289,,0,0.342077821256459,0,0.980977943750729,Female,0.580355198175621
GSM1506276,67.180641281665,,0,0.315519956848531,0.00141748228147148,0.98553884165395,Female,0.554960827634442
GSM1506277,62.3341415480024,,0,0.315907157771792,0.00179585216081566,0.987329780935465,Male,0.366660932708626
GSM1506278,60.6713467203776,,0,0.315520945577693,0.0015141231138725,0.990294033685412,Female,0.56101737417614
GSM1506279,60.7208308269327,,0,0.316602793007685,0.000517254119559595,0.990212986117099,Female,0.56983862171874
GSM1506280,68.7030319801439,,0,0.316091315172649,0.00157226674847567,0.989869164587894,Male,0.365383085780635
GSM1506281,63.3237427067704,,0,0.322562630998404,0.00254584885201075,0.986250236250236,Male,0.372852306612392
GSM1506282,67.1662975378094,,0,0.319402343365821,0,0.987453024609043,Female,0.564482364826022
GSM1506283,64.2556860231982,,0,0.314659666850677,0.000859045028276899,0.990951149816302,Male,0.364955476557969
GSM1506284,71.1425716924752,,0,0.320741703779583,0,0.988799454878412,Female,0.5681935151673
GSM1506285,70.2006480847333,,0,0.318981665802472,0.000441208912420031,0.985900704964752,Female,0.56932313011335
GSM1506286,71.3803036292389,,0,0.311608068163993,0.00154634980060226,0.986857770858137,Male,0.364230968710913
GSM1506287,61.7211686079096,,0,0.321499917530271,0,0.990309163414948,Male,0.371609044304827
GSM1506324,53.4839832616678,,0,0.342994919215947,0,0.990388848129127,Female,0.611231292346292
GSM1506325,47.0920111375342, WARNING: meanMethBySample is > 0.35,0,0.356440719399786,0,0.98731101511879,Female,0.594597440568906
GSM1506326,57.5717412022584,,0,0.331899383935069,0,0.991852254209669,Male,0.379287212694099
